window,gene,category,count
100kb,a1cf,sig. positive,8
100kb,a2ml,sig. negative,1
100kb,a2ml,sig. positive,3
100kb,aaas,sig. negative,5
100kb,aaas,sig. positive,4
100kb,aacs,sig. positive,2
100kb,aadac,sig. positive,9
100kb,aadacl4,sig. positive,2
100kb,aadat,sig. negative,1
100kb,aadat,sig. positive,1
100kb,aagab,sig. negative,6
100kb,aak1a,sig. positive,33
100kb,aak1b,sig. positive,14
100kb,aamdc,sig. negative,10
100kb,aamp,sig. negative,4
100kb,aamp,sig. positive,3
100kb,aanat1,sig. positive,2
100kb,aanat2,sig. positive,22
100kb,aar2,sig. positive,7
100kb,aars1,sig. positive,5
100kb,aars2,sig. positive,4
100kb,aarsd1,sig. negative,2
100kb,aarsd1,sig. positive,1
100kb,aasdh,sig. positive,1
100kb,aasdhppt,sig. negative,1
100kb,aasdhppt,sig. positive,4
100kb,aass,sig. positive,2
100kb,aatf,sig. positive,14
100kb,aatka,sig. positive,13
100kb,aatkb,sig. positive,8
100kb,abca12,sig. negative,1
100kb,abca12,sig. positive,2
100kb,abca1a,sig. negative,2
100kb,abca1a,sig. positive,27
100kb,abca1b,sig. positive,47
100kb,abca2,sig. positive,7
100kb,abca3b,sig. negative,2
100kb,abca3b,sig. positive,34
100kb,abca4a,sig. positive,46
100kb,abca4b,sig. positive,4
100kb,abca5,sig. positive,2
100kb,abcb10,sig. negative,2
100kb,abcb10,sig. positive,8
100kb,abcb11a,sig. negative,1
100kb,abcb11a,sig. positive,5
100kb,abcb11b,sig. negative,1
100kb,abcb11b,sig. positive,1
100kb,abcb4,sig. positive,5
100kb,abcb5,sig. positive,51
100kb,abcb6a,sig. positive,9
100kb,abcb6b,sig. negative,1
100kb,abcb6b,sig. positive,2
100kb,abcb7,sig. negative,2
100kb,abcb7,sig. positive,4
100kb,abcb9,sig. negative,1
100kb,abcb9,sig. positive,1
100kb,abcc1,sig. negative,2
100kb,abcc10,sig. positive,9
100kb,abcc13,sig. negative,1
100kb,abcc13,sig. positive,5
100kb,abcc2,sig. negative,1
100kb,abcc3,sig. positive,17
100kb,abcc4,sig. negative,4
