window,gene,category,count,count_ols
100kb,aadacl4,sig. positive,1,1
100kb,abcb7,sig. negative,10,10
100kb,abcb7,sig. positive,12,12
100kb,abcc13,sig. negative,3,3
100kb,abcc13,sig. positive,1,1
100kb,abcc2,sig. negative,8,8
100kb,abcc2,sig. positive,10,10
100kb,abce1,sig. negative,9,9
100kb,abce1,sig. positive,7,7
100kb,abcf3,sig. negative,11,11
100kb,abcf3,sig. positive,14,14
100kb,abcg2a,sig. positive,1,1
100kb,abcg2b,sig. negative,7,7
100kb,abcg2b,sig. positive,8,8
100kb,abcg4b,sig. negative,1,1
100kb,abcg4b,sig. positive,3,3
100kb,abch1,sig. negative,10,10
100kb,abch1,sig. positive,10,10
100kb,abhd17c,sig. negative,6,6
100kb,abhd17c,sig. positive,5,5
100kb,abhd6b,sig. negative,20,20
100kb,abhd6b,sig. positive,17,17
100kb,abi1a,sig. negative,2,2
100kb,abi3b,sig. negative,9,9
100kb,abi3b,sig. positive,9,9
100kb,abl1,sig. positive,1,1
100kb,ablim3,sig. negative,18,18
100kb,ablim3,sig. positive,18,18
100kb,abt1,sig. negative,2,2
100kb,abt1,sig. positive,1,1
100kb,acaca,sig. negative,14,14
100kb,acaca,sig. positive,22,22
100kb,acadsb,sig. positive,1,1
100kb,acadvl,sig. negative,1,1
100kb,acat1,sig. negative,15,15
100kb,acat1,sig. positive,18,18
100kb,acd,sig. negative,16,16
100kb,acd,sig. positive,12,12
100kb,acer2,sig. negative,3,3
100kb,acer2,sig. positive,4,4
100kb,acot11b,sig. negative,9,9
100kb,acot11b,sig. positive,14,14
100kb,acot19,sig. positive,3,3
100kb,acot20,sig. negative,17,17
100kb,acot20,sig. positive,18,18
100kb,acot9.1,sig. negative,10,10
100kb,acot9.1,sig. positive,11,11
100kb,acsl1a,sig. negative,1,1
100kb,acsl1a,sig. positive,2,2
100kb,acsl3b,sig. negative,18,18
100kb,acsl3b,sig. positive,14,14
100kb,acsm3,sig. negative,7,7
100kb,acsm3,sig. positive,7,7
100kb,actn1,sig. negative,6,6
100kb,actn1,sig. positive,4,4
100kb,actr3,sig. negative,14,14
100kb,actr3,sig. positive,16,16
