gene_id,chr,start,end,strand,TSS,TSS_10kb_start,TSS_10kb_end,TSS_20kb_start,TSS_20kb_end,TSS_50kb_start,TSS_50kb_end,TSS_100kb_start,TSS_100kb_end,chr_number,chr_coord_10kb,chr_coord_20kb,chr_coord_50kb,chr_coord_100kb
rpl24,NC_007112.7,6642,11878,-,11878,1878,21878,0,31878,0,61878,0,111878,1,1-1878-21878,1-0-31878,1-0-61878,1-0-111878
cep97,NC_007112.7,11961,16373,+,11961,1961,21961,0,31961,0,61961,0,111961,1,1-1961-21961,1-0-31961,1-0-61961,1-0-111961
nfkbiz,NC_007112.7,18631,23837,+,18631,8631,28631,0,38631,0,68631,0,118631,1,1-8631-28631,1-0-38631,1-0-68631,1-0-118631
eed,NC_007112.7,27688,34330,+,27688,17688,37688,7688,47688,0,77688,0,127688,1,1-17688-37688,1-7688-47688,1-0-77688,1-0-127688
hikeshi,NC_007112.7,36734,39191,+,36734,26734,46734,16734,56734,0,86734,0,136734,1,1-26734-46734,1-16734-56734,1-0-86734,1-0-136734
tmem39a,NC_007112.7,39325,44556,-,44556,34556,54556,24556,64556,0,94556,0,144556,1,1-34556-54556,1-24556-64556,1-0-94556,1-0-144556
ildr1a,NC_007112.7,44839,49831,-,49831,39831,59831,29831,69831,0,99831,0,149831,1,1-39831-59831,1-29831-69831,1-0-99831,1-0-149831
gpa33a,NC_007112.7,65705,71523,-,71523,61523,81523,51523,91523,21523,121523,0,171523,1,1-61523-81523,1-51523-91523,1-21523-121523,1-0-171523
f7l,NC_007112.7,109798,119138,+,109798,99798,119798,89798,129798,59798,159798,9798,209798,1,1-99798-119798,1-89798-129798,1-59798-159798,1-9798-209798
f7,NC_007112.7,119960,125246,+,119960,109960,129960,99960,139960,69960,169960,19960,219960,1,1-109960-129960,1-99960-139960,1-69960-169960,1-19960-219960
f7i,NC_007112.7,127237,134081,+,127237,117237,137237,107237,147237,77237,177237,27237,227237,1,1-117237-137237,1-107237-147237,1-77237-177237,1-27237-227237
f10,NC_007112.7,136020,142173,+,136020,126020,146020,116020,156020,86020,186020,36020,236020,1,1-126020-146020,1-116020-156020,1-86020-186020,1-36020-236020
prozb,NC_007112.7,144291,152006,+,144291,134291,154291,124291,164291,94291,194291,44291,244291,1,1-134291-154291,1-124291-164291,1-94291-194291,1-44291-244291
pcid2,NC_007112.7,152007,157544,-,157544,147544,167544,137544,177544,107544,207544,57544,257544,1,1-147544-167544,1-137544-177544,1-107544-207544,1-57544-257544
cul4a,NC_007112.7,157742,168647,+,157742,147742,167742,137742,177742,107742,207742,57742,257742,1,1-147742-167742,1-137742-177742,1-107742-207742,1-57742-257742
lamp1a,NC_007112.7,171765,183800,+,171765,161765,181765,151765,191765,121765,221765,71765,271765,1,1-161765-181765,1-151765-191765,1-121765-221765,1-71765-271765
grtp1a,NC_007112.7,184910,191971,-,191971,181971,201971,171971,211971,141971,241971,91971,291971,1,1-181971-201971,1-171971-211971,1-141971-241971,1-91971-291971
adprhl1,NC_007112.7,197243,206208,-,206208,196208,216208,186208,226208,156208,256208,106208,306208,1,1-196208-216208,1-186208-226208,1-156208-256208,1-106208-306208
dcun1d2b,NC_007112.7,208177,214917,-,214917,204917,224917,194917,234917,164917,264917,114917,314917,1,1-204917-224917,1-194917-234917,1-164917-264917,1-114917-314917
tmco3,NC_007112.7,214949,226001,+,214949,204949,224949,194949,234949,164949,264949,114949,314949,1,1-204949-224949,1-194949-234949,1-164949-264949,1-114949-314949
tfdp1b,NC_007112.7,226184,241708,+,226184,216184,236184,206184,246184,176184,276184,126184,326184,1,1-216184-236184,1-206184-246184,1-176184-276184,1-126184-326184
grk1a,NC_007112.7,245137,256233,+,245137,235137,255137,225137,265137,195137,295137,145137,345137,1,1-235137-255137,1-225137-265137,1-195137-295137,1-145137-345137
cenpe,NC_007112.7,260012,296057,+,260012,250012,270012,240012,280012,210012,310012,160012,360012,1,1-250012-270012,1-240012-280012,1-210012-310012,1-160012-360012
gas6,NC_007112.7,312784,338268,-,338268,328268,348268,318268,358268,288268,388268,238268,438268,1,1-328268-348268,1-318268-358268,1-288268-388268,1-238268-438268
pros1,NC_007112.7,343292,354114,-,354114,344114,364114,334114,374114,304114,404114,254114,454114,1,1-344114-364114,1-334114-374114,1-304114-404114,1-254114-454114
rasa3,NC_007112.7,355766,411346,-,411346,401346,421346,391346,431346,361346,461346,311346,511346,1,1-401346-421346,1-391346-431346,1-361346-461346,1-311346-511346
tpp2,NC_007112.7,418907,443739,+,418907,408907,428907,398907,438907,368907,468907,318907,518907,1,1-408907-428907,1-398907-438907,1-368907-468907,1-318907-518907
ercc5,NC_007112.7,474064,494289,-,494289,484289,504289,474289,514289,444289,544289,394289,594289,1,1-484289-504289,1-474289-514289,1-444289-544289,1-394289-594289
blzf1,NC_007112.7,494297,505620,+,494297,484297,504297,474297,514297,444297,544297,394297,594297,1,1-484297-504297,1-474297-514297,1-444297-544297,1-394297-594297
trmt10c,NC_007112.7,509021,513786,-,513786,503786,523786,493786,533786,463786,563786,413786,613786,1,1-503786-523786,1-493786-533786,1-463786-563786,1-413786-613786
txnl4b,NC_007112.7,513986,522272,+,513986,503986,523986,493986,533986,463986,563986,413986,613986,1,1-503986-523986,1-493986-533986,1-463986-563986,1-413986-613986
si:ch73-41e3.7,NC_007112.7,518853,524433,-,524433,514433,534433,504433,544433,474433,574433,424433,624433,1,1-514433-534433,1-504433-544433,1-474433-574433,1-424433-624433
mrpl16,NC_007112.7,524703,530935,+,524703,514703,534703,504703,544703,474703,574703,424703,624703,1,1-514703-534703,1-504703-544703,1-474703-574703,1-424703-624703
mrpl39,NC_007112.7,580671,591334,+,580671,570671,590671,560671,600671,530671,630671,480671,680671,1,1-570671-590671,1-560671-600671,1-530671-630671,1-480671-680671
jam2a,NC_007112.7,594637,608235,+,594637,584637,604637,574637,614637,544637,644637,494637,694637,1,1-584637-604637,1-574637-614637,1-544637-644637,1-494637-694637
atp5pf,NC_007112.7,610327,614583,-,614583,604583,624583,594583,634583,564583,664583,514583,714583,1,1-604583-624583,1-594583-634583,1-564583-664583,1-514583-714583
appa,NC_007112.7,617799,656820,-,656820,646820,666820,636820,676820,606820,706820,556820,756820,1,1-646820-666820,1-636820-676820,1-606820-706820,1-556820-756820
cyyr1,NC_007112.7,658405,669717,-,669717,659717,679717,649717,689717,619717,719717,569717,769717,1,1-659717-679717,1-649717-689717,1-619717-719717,1-569717-769717
adamts1,NC_007112.7,672189,681190,-,681190,671190,691190,661190,701190,631190,731190,581190,781190,1,1-671190-691190,1-661190-701190,1-631190-731190,1-581190-781190
adamts5,NC_007112.7,691738,714626,-,714626,704626,724626,694626,734626,664626,764626,614626,814626,1,1-704626-724626,1-694626-734626,1-664626-764626,1-614626-814626
n6amt1,NC_007112.7,961607,970952,+,961607,951607,971607,941607,981607,911607,1011607,861607,1061607,1,1-951607-971607,1-941607-981607,1-911607-1011607,1-861607-1061607
gart,NC_007112.7,973067,1005061,-,1005061,995061,1015061,985061,1025061,955061,1055061,905061,1105061,1,1-995061-1015061,1-985061-1025061,1-955061-1055061,1-905061-1105061
