gene_id,assigned_peaks
rpl24,"['1-32-526', '1-2372-3057', '1-3427-4032', '1-4469-7268', '1-9541-9969', '1-11007-12962', '1-13276-13705', '1-14059-14260', '1-14625-15105', '1-15724-15934', '1-16762-17233', '1-17587-18215', '1-18372-20466', '1-21199-21555', '1-21590-23611', '1-27097-29981', '1-30119-30406', '1-30997-31278', '1-31454-31701']"
cep97,"['1-32-526', '1-2372-3057', '1-3427-4032', '1-4469-7268', '1-9541-9969', '1-11007-12962', '1-13276-13705', '1-14059-14260', '1-14625-15105', '1-15724-15934', '1-16762-17233', '1-17587-18215', '1-18372-20466', '1-21199-21555', '1-21590-23611', '1-27097-29981', '1-30119-30406', '1-30997-31278', '1-31454-31701']"
nfkbiz,"['1-32-526', '1-2372-3057', '1-3427-4032', '1-4469-7268', '1-9541-9969', '1-11007-12962', '1-13276-13705', '1-14059-14260', '1-14625-15105', '1-15724-15934', '1-16762-17233', '1-17587-18215', '1-18372-20466', '1-21199-21555', '1-21590-23611', '1-27097-29981', '1-30119-30406', '1-30997-31278', '1-31454-31701', '1-32151-33568', '1-34134-34335', '1-35228-35644']"
eed,"['1-9541-9969', '1-11007-12962', '1-13276-13705', '1-14059-14260', '1-14625-15105', '1-15724-15934', '1-16762-17233', '1-17587-18215', '1-18372-20466', '1-21199-21555', '1-21590-23611', '1-27097-29981', '1-30119-30406', '1-30997-31278', '1-31454-31701', '1-32151-33568', '1-34134-34335', '1-35228-35644', '1-36495-38783', '1-42391-42715', '1-43295-45665']"
hikeshi,"['1-16762-17233', '1-17587-18215', '1-18372-20466', '1-21199-21555', '1-21590-23611', '1-27097-29981', '1-30119-30406', '1-30997-31278', '1-31454-31701', '1-32151-33568', '1-34134-34335', '1-35228-35644', '1-36495-38783', '1-42391-42715', '1-43295-45665', '1-47804-48421', '1-48799-50798', '1-54567-55331', '1-55379-55955']"
tmem39a,"['1-27097-29981', '1-30119-30406', '1-30997-31278', '1-31454-31701', '1-32151-33568', '1-34134-34335', '1-35228-35644', '1-36495-38783', '1-42391-42715', '1-43295-45665', '1-47804-48421', '1-48799-50798', '1-54567-55331', '1-55379-55955', '1-56763-57094', '1-58412-61085', '1-62642-63379', '1-63868-64257']"
ildr1a,"['1-30119-30406', '1-30997-31278', '1-31454-31701', '1-32151-33568', '1-34134-34335', '1-35228-35644', '1-36495-38783', '1-42391-42715', '1-43295-45665', '1-47804-48421', '1-48799-50798', '1-54567-55331', '1-55379-55955', '1-56763-57094', '1-58412-61085', '1-62642-63379', '1-63868-64257', '1-64473-65494', '1-67065-67408', '1-67609-68064', '1-68948-69665']"
gpa33a,"['1-54567-55331', '1-55379-55955', '1-56763-57094', '1-58412-61085', '1-62642-63379', '1-63868-64257', '1-64473-65494', '1-67065-67408', '1-67609-68064', '1-68948-69665', '1-70824-72728', '1-73441-74774', '1-76043-76855', '1-77761-78767', '1-78982-79577', '1-83686-85516', '1-85649-86704', '1-90274-91382']"
f7l,"['1-90274-91382', '1-92090-92924', '1-93201-93896', '1-95944-96347', '1-97507-98162', '1-98921-99152', '1-99511-101384', '1-102102-102943', '1-103365-103694', '1-103780-104716', '1-108992-110074', '1-110381-110748', '1-110951-111623', '1-112224-112871', '1-114755-115737', '1-116940-117676', '1-117922-118235', '1-119674-120367', '1-121512-121806', '1-122058-122383', '1-124135-124688', '1-126579-127386', '1-128797-129190']"
f7,"['1-102102-102943', '1-103365-103694', '1-103780-104716', '1-108992-110074', '1-110381-110748', '1-110951-111623', '1-112224-112871', '1-114755-115737', '1-116940-117676', '1-117922-118235', '1-119674-120367', '1-121512-121806', '1-122058-122383', '1-124135-124688', '1-126579-127386', '1-128797-129190', '1-130846-131418', '1-131723-132528', '1-133103-133602', '1-134010-134240', '1-135787-137043']"
